input,context,expected_output
"In considering the importance of biological warfare as a subject for concern it is worthwhile to review the known existential threats. At this time this writer can identify at three major existential threats to humanity: (i) large-scale thermonuclear war followed by a nuclear winter, (ii) a planet killing asteroid impact and (iii) infectious disease. To this trio might be added climate change making the planet uninhabitable. Of the three existential threats the first is deduced from the inferred cataclysmic effects of nuclear war. For the second there is geological evidence for the association of asteroid impacts with massive extinction (Alvarez, 1987). As to an existential threat from microbes recent decades have provided unequivocal evidence for the ability of certain pathogens to cause the extinction of entire species. Although infectious disease has traditionally not been associated with extinction this view has changed by the finding that a single chytrid fungus was responsible for the extinction of numerous amphibian species (Daszak et al., 1999; Mendelson et al., 2006). Previously, the view that infectious diseases were not a cause of extinction was predicated on the notion that many pathogens required their hosts and that some proportion of the host population was naturally resistant. However, that calculation does not apply to microbes that are acquired directly from the environment and have no need for a host, such as the majority of fungal pathogens. For those types of host–microbe interactions it is possible for the pathogen to kill off every last member of a species without harm to itself, since it would return to its natural habitat upon killing its last host. Hence, from the viewpoint of existential threats environmental microbes could potentially pose a much greater threat to humanity than the known pathogenic microbes, which number somewhere near 1500 species (Cleaveland et al., 2001; Taylor et al., 2001), especially if some of these species acquired the capacity for pathogenicity as a consequence of natural evolution or bioengineering.",summarize the following text: ,"it is worthwhile to review the known existential threats this writer can identify infectious disease recent decades have provided unequivocal evidence for the ability of certain pathogens to cause the extinction of entire species. Although infectious disease has traditionally not been associated with extinction this view has changed by the finding that a single chytrid fungus was responsible for extinction of numerous amphibian species Previously, the view that infectious diseases were not a cause of extinction was predicated on the notion that pathogens required their hosts and some proportion of the host population was naturally resistant that calculation does not apply to microbes that are acquired directly from the environment and have no need for a host, such as fungal pathogens. For those it is possible for the pathogen to kill off every last member of a species without harm to itself, since it would return to its natural habitat from the viewpoint of existential threats environmental microbes could potentially pose a much greater threat to humanity"
"THE COUNTRY is about to see its fiercest climate-change battle. After years of congressional inaction, President Obama’s Environmental Protection Agency is applying new rules to curb greenhouse-gas emissions from cars, trucks and — most controversially — power plants, the biggest national emitters. Senate Minority Leader Mitch McConnell (R-Ky.) has said he will try to restrict the EPA if Republicans take over the Senate. Mr. Obama’s executive actions will be an issue in the 2016 presidential campaign. The EPA has drawn up the best possible policy framework under current law, and it is much better than nothing. Congress should not weaken the rules. But lawmakers could significantly improve on them. The Obama administration’s plan has three pieces. First, the EPA has persuaded carmakers to nearly double the fuel efficiency of U.S. autos, in the process cutting their carbon emissions in half. Second, the EPA placed limits on the carbon dioxide that new power plants can emit, virtually guaranteeing that no more conventional coal-fired plants will be built in the United States. Third, the EPA proposed in June a rule that would restrict the emissions of existing power plants, cutting their carbon emissions by 30 percent by 2030. The central criticism is that these rules, particularly the third, will exact extreme costs on the economy without reversing the rise in global temperatures. But critics have been citing high-cost estimates based on faulty assumptions, and the EPA figures that its power plant rule, which gives utilities many years to comply, will peak at about $9 billion per year in 2011 dollars. That’s a relative pittance in an economy that’s nearly $17 trillion and growing. In return, the EPA projects health and climate benefits outstripping costs many times over. Even if the EPA’s reckoning is significantly off, the regulations will do more good than harm — without even considering their importance in motivating other countries to act.",summarize the following text: ,"President Obama’s Environmental Protection Agency is applying new rules to curb greenhouse-gas emissions from cars, trucks and — most controversially — power plants, the biggest national emitters McConnell has said he will try to restrict the EPA if Republicans take over the Senate The Obama administration’s plan has three pieces. EPA has persuaded carmakers to nearly double the fuel efficiency of U.S. autos the EPA placed limits on the carbon dioxide that new power plants can emit the EPA proposed in June a rule that would restrict the emissions of existing power plants, cutting their carbon emissions by 30 percent by 2030 The central criticism is that these rules , will exact extreme costs on the economy without reversing the rise in global temperatures But critics have been citing high-cost estimates based on faulty assumptions In return, the EPA projects health and climate benefits outstripping costs many times over Even if the EPA’s reckoning is significantly off, the regulations will do more good than harm — without even considering their importance in motivating other countries to act."
"Goodman further reasons that, since there are currently few legal means to make a living in countries like Afghanistan, providing a legitimate market for such cash crops could mitigate instability, by depriving the country’s war-lords and criminal groups of the illegal narcotic profits they frequently use to undermine our national security and counterterrorism objectives involving these countries. Considering that some 23 million Americans are reported to spend an estimated $42 billion on marijuana every year, there is little doubt that the Afghan economy could benefit if Afghanis were able to legally supply their agricultural products to legitimate private markets in the U.S. The question is though, why we would think providing a legal market for marijuana in Afghanistan would somehow remove the unsavory element from the country’s drug trade. Warlords and their personal armies have a lengthy history in Afghanistan. They are part of the Afghan DNA. Today there are more than 200 key warlords controlling various territories in Afghanistan, with as many as 250,000 heavily armed, and often militarily experienced, militiamen at their disposal. The formally established Afghan government, even with the assistance of the U.S., has been unable to unarm or dismantle these groups. Why would these warlords give up the hold they currently have on the drug trade, a trade that represents their primary source of income, power and existence. Legal or illegal, these warlords and the unsavory characters that surround them are going to continue to control the drug trade in Afghanistan and, if so disposed, will continue to use the proceeds from such to finance terrorist activity and other operations creating continued instability within the region. The only thing creating a “legal” market for Afghan’s bumper cannabis crop will do is substantially increase the profits flowing to these groups, thereby enhancing the means they have available to them as they remain equally as committed to fighting the West.",summarize the following text: ,"Goodman reasons that since there are currently few legal means to make a living in Afghanistan providing a legitimate market f could mitigate instability by depriving war-lords of the illegal narcotic profits The question is  why we would think providing a legal market for marijuana in Afghanistan would somehow remove the unsavory element from the country’s drug trade. Warlords and armies have a lengthy history in Afghanistan They are part of the Afghan DNA Today there are more than 200 key warlords controlling Afghanistan with 250,000 heavily armed militiamen The formally established Afghan government even with the assistance of the U.S., has been unable to unarm or dismantle these groups Why would these warlords give up the hold they currently have on the drug trade that represents their primary source of income, power and existence Legal or illegal warlords are going to continue to control the drug trade in Afghanistan and will continue to use the proceeds from such to finance terrorist activity creating continued instability within the region The only thing creating a “legal” market for Afghan’s bumper cannabis will do is substantially increase the profits flowing to these groups enhancing the means they have available to them as they remain equally as committed to fighting the West."
"Am I overlooking the obvious threat that strikes fear into the hearts of so many Americans, which is terrorism? Not at all. Sure, the United States has a terrorism problem. But it is a minor threat. There is no question we fell victim to a spectacular attack on September 11, but it did not cripple the United States in any meaningful way and another attack of that magnitude is highly unlikely in the foreseeable future. Indeed, there has not been a single instance over the past twelve years of a terrorist organization exploding a primitive bomb on American soil, much less striking a major blow. Terrorism—most of it arising from domestic groups—was a much bigger problem in the United States during the 1970s than it has been since the Twin Towers were toppled.
What about the possibility that a terrorist group might obtain a nuclear weapon? Such an occurrence would be a game changer, but the chances of that happening are virtually nil. No nuclear-armed state is going to supply terrorists with a nuclear weapon because it would have no control over how the recipients might use that weapon. Political turmoil in a nuclear-armed state could in theory allow terrorists to grab a loose nuclear weapon, but the United States already has detailed plans to deal with that highly unlikely contingency.
Terrorists might also try to acquire fissile material and build their own bomb. But that scenario is extremely unlikely as well: there are significant obstacles to getting enough material and even bigger obstacles to building a bomb and then delivering it. More generally, virtually every country has a profound interest in making sure no terrorist group acquires a nuclear weapon, because they cannot be sure they will not be the target of a nuclear attack, either by the terrorists or another country the terrorists strike. Nuclear terrorism, in short, is not a serious threat. And to the extent that we should worry about it, the main remedy is to encourage and help other states to place nuclear materials in highly secure custody.",summarize the following text: ,"terrorism is a minor threat another attack of magnitude is highly unlikely in the foreseeable future there has not been a single instance over twelve years of a terrorist organization exploding a primitive bomb on American soil Terrorism was a much bigger problem in the 70s
the possibility a group might obtain a nuclear weapon? the chances of that happening are virtually nil No nuclear-armed state is going to supply terrorists with a weapon because it would have no control over how the recipients use that weapon. Political turmoil could in theory allow terrorists to grab a loose weapon, but the U S already has detailed plans to deal with that highly unlikely contingency.
Terrorists might try to build their own bomb that scenario is extremely unlikely as well there are significant obstacles to getting enough material and even bigger obstacles to building a bomb and then delivering it every country has a profound interest in making sure no terrorist group acquires a nuclear weapon, because they cannot be sure they will not be the target Nuclear terrorism is not a serious threat"
"This kind of story is both overly optimistic and overly pessimistic about the state of the WTO. It's overly optimistic in assuming that, even if something is negotiated in Bali (and the odds aren't great of that happening), it's unlikely that the WTO will ever be the focal point for comprehensive trade talks ever again. Even getting agreement on the ""easy"" parts of Doha has been super-hard. There's very little upside to making the WTO the focal point of new talks, especially given that most of the regional and bilateral trade talks have been of the ""open regionalism"" variety. On the other hand, the ""slippery slope"" argument of the WTO losing relevance is also way overplayed. Such a statement omits two very important facts. First, even if there's no further WTO-guided liberalization, the rounds negotiated to date constitute far more liberalization than what can be achieved in the future. In other words, the WTO rules still govern a lot of trade, and further liberalization won't erode the WTO's bailiwick that much. Second, the WTO's Dispute Settlement Understanding remains the ne plus ultra of enforcement arrangements in global governance. Contrary to the WSJ story, there is zero evidence that WTO enforcement has weakened as Doha bogged down or as protectionism increased after 2008. That part of the trade system is still working pretty well. For decades, trade commentary has implicitly embraced the ""bicycle theory"" - the belief that unless multilateral trade liberalization moves ahead, the entire global trade regime will collapse because of a lack of forward momentum. The last decade -- and particularly the post-2008 period -- suggests that there are limits to that rule of thumb. It is possible for the WTO to matter less on jump-starting multilateral trade negotiations while still mattering a great deal in enforcing the rules of the game. So Bali might represent the end of multilateral trade negotiations -- but it's not the end of multilateral trade.",summarize the following text: ,"even if something is negotiated in Bali it's unlikely the WTO will ever be the focal point for comprehensive trade talks ever again Even getting agreement on the ""easy"" parts of Doha has been super-hard There's very little upside to making the WTO the focal point of new talks especially given most trade talks have been of the ""open regionalism"" variety the ""slippery slope"" argument of the WTO losing relevance is also way overplayed even if there's no further WTO-guided liberalization, the rounds negotiated to date constitute far more liberalization than what can be achieved in the future the WTO rules still govern a lot of trade, and further liberalization won't erode the WTO's bailiwick that much. WTO's Dispute Settlement remains the ne plus ultra of enforcement arrangements in global governance there is zero evidence WTO enforcement has weakened as Doha bogged down That part of the trade system is still working pretty well For decades, trade commentary has implicitly embraced the ""bicycle theory"" belief unless trade liberalization moves ahead, the entire global trade regime will collapse The last decade suggests there are limits to that rule of thumb It is possible for the WTO to matter less on jump-starting multilateral trade negotiations while still mattering a great deal in enforcing the rules of the game"
"Forecasts talk of U.S. retreat from domineering China or an inevitable U.S.-China conflict. However, enduring circumstances hold back Chinese leaders from confronting America, the regional leader. Domestic preoccupations Chinese economic growth and one-party rule require stability. And protecting Chinese security and sovereignty remains a top concern. Though China also has regional and global ambitions, domestic concerns get overall priority. President Xi Jinping is preoccupied with uncertain leadership legitimacy, pervasive corruption, widespread mass protests, and unsustainable economic practices. Beijing’s reform agenda requires strong leadership for many years. Under these circumstances, Xi was unusually accommodating in meeting President Obama in California in 2013; he seeks a new kind of major power relationship. Xi also presides over China’s greater assertiveness on territorial issues that involve the United States, but thus far Chinese probes avoid direct confrontation with the superpower. Mutual interdependence Growing economic and other U.S.-China interdependence reinforces constructive relations. Respective “Gulliver strategies” tie down aggressive, assertive, or other negative policy tendencies through webs of interdependence in bilateral and multilateral relationships. China’s insecurity in Asia Nearby Asia is China’s top foreign priority. It contains security and sovereignty issues (e.g. Taiwan) of highest importance. It is the main arena of interaction with the United States. Its economic importance far surpasses the rest of world (China is Africa’s biggest trader but it does more trade with South Korea). Asian stability is essential for China’s economic growth—the lynch pin of Communist rule. Facing formidable American presence and influence and lacking a secure periphery, China almost certainly calculates that seriously confronting the United States poses grave dangers.",summarize the following text: ,"Forecasts talk of an inevitable U.S.-China conflict However, enduring circumstances hold back Chinese leaders from confronting America Chinese economic growth and one-party rule require stability protecting Chinese security and sovereignty remains a top concern Though China has regional ambitions domestic concerns get overall priority. Xi is preoccupied with uncertain leadership legitimacy pervasive corruption, widespread mass protests, and unsustainable economic practices. Beijing’s reform agenda requires strong leadership for many years Under these circumstances, Xi was unusually accommodating in meeting Obama Xi also presides over China’s greater assertiveness on territorial issues but Chinese probes avoid direct confrontation with the superpower. Growing economic and other U.S.-China interdependence reinforces constructive relations “Gulliver strategies” tie down aggressive, assertive policy tendencies through interdependence in bilateral relationships Asian stability is essential for China’s economic growth—the lynch pin of Communist rule. Facing formidable American presence and influence and lacking a secure periphery China almost certainly calculates that seriously confronting the U S  poses grave dangers."
"(Chief, Department of Clinical Bioethics, Warren G. Magnuson Clinical Center, National Institutes of Health Ezekiel 82 Minn. L. Rev. 983)
In Washington v. Glucksberg n1 and Vacco v. Quill n2 the Supreme Court Justices did the right thing by rejecting a constitutional right to physician-assisted suicide (PAS) or euthanasia. n3 They also reached the correct decision in not foreclosing state legalization of these interventions. The decisions will foster a lively debate in the states about the ethics and political prudence of permitting these interventions. Although a few Justices held out hope for a more narrow constitutional right to PAS or euthanasia, the majority holdings permanently shifted the forum, the arguments, the perspective, and the justifications in the debate over PAS and euthanasia. The forum is no longer the courts, but the legislatures and public squares. The arguments are no longer about constitutional rights, but ethics and prudent policies. The perspective is no longer first person, but third per- [*984] son. And the justifications no longer appeal to individual autonomy and beneficence, but to probable social goods and harms. This is as it should be in a democracy. As the debate proceeds, however, it must be better informed. The debate needs to move away from this or that heart-wrenching case calling out for euthanasia, shake off the distortions concerning end-of-life practices that have so far informed it, and carefully examine what likely benefits and harms might result from legalization. This means that there will be even more emphasis on accurate empirical assessments of likely practices and consequences related to PAS or euthanasia. Current assumptions about PAS or euthanasia based on abstract argumentation and logical inferences will need to be tested empirically if public policy is to be prudent. Some of these assumptions already have been shattered by empirical assessment. But others will require a commitment to collect additional data to make public debate more informed.",summarize the following text: ,"(Chief, Department of Clinical Bioethics, Warren G. Magnuson Clinical Center, National Institutes of Health Ezekiel 82 Minn. L. Rev. 983)
As the debate proceeds, it must be better informed The debate needs to move away from calling out for euthanasia shake off the distortions concerning end-of-life practices and carefully examine what likely benefits and harms might result from legalization there will be even more emphasis on accurate empirical assessments of likely practices and consequences related to PAS Current assumptions about PAS based on abstract argumentation and logical inferences will need to be tested empirically if public policy is to be prudent these assumptions will require a commitment to collect additional data to make public debate more informed."
"As for moral perfectionism, this would be the doctrine that a liberal state should never have truck with dubious moral means and should spare its officials the hazard of having to decide between lesser and greater evils. A moral perfectionist position also holds that states can spare their officials this hazard simply by adhering to the universal moral standards set out in human rights conventions and the laws of war. There are two problems with a perfectionist stance, leaving aside the question of whether it is realistic. The first is that articulating nonrevocable, nonderogable moral standards is relatively easy. The problem is deciding how to apply them in specific cases. What is the line between interrogation and torture, between targeted killing and unlawful assassination, between preemption and aggression? Even when legal and moral distinctions between these are clear in the abstract, abstractions are less than helpful when political leaders have to choose between them in practice. Furthermore, the problem with perfectionist standards is that they contradict each other. The same person who shudders, rightly, at the prospect of torturing a suspect might be prepared to kill the same suspect in a preemptive attack on a terrorist base. Equally, the perfectionist commitment to the right to life might preclude such attacks altogether and restrict our response to judicial pursuit of offenders through process of law. Judicial responses to the problem of terror have their place, but they are no substitute for military operations when terrorists possess bases, training camps, and heavy weapons. To stick to a perfectionist commitment to the right to life when under terrorist attack might achieve moral consistency at the price of leaving us defenseless in the face of evildoers. Security, moreover, is a human right, and thus respect for one right might lead us to betray another.",summarize the following text: ,A moral perfectionist position holds that states can spare hazard simply by adhering to universal moral standards There are two problems with a perfectionist stance articulating nonrevocable moral standards is easy. The problem is deciding how to apply them What is the line between interrogation and torture abstractions are less than helpful when political leaders have to choose between them Furthermore the problem with perfectionist standards is that they contradict each other the perfectionist commitment to the right to life might preclude such attacks altogether and restrict our response to judicial pursuit of offenders through process of law.
"If either Udall or Braley loses, the game is then over. Republicans are in charge. But wait a minute: Some very unlikely scenarios might just take place that could save the day for the Democrats. No. 1 is Kansas, which I wrote about last week (Independent Greg Ormond beating Republican Sen. Pat Roberts.) No. 2, of all places, is South Dakota. There is a former three-term Republican senator, the irrepressible Larry Pressler, who very well may be a godsend for the Democrats. He is pulling votes away from the Republican candidate, former Gov. Mike Rounds. Now-Independent Pressler is definitely aiding Democrat Rick Weiland. Remember, South Dakota has sent Democrats to the U.S. Senate — James Abourezk, Tom Daschle and the retiring Tim Johnson. And, of course, George McGovern. A candidate can win this race with as little as 33 percent. There is no runoff — it's just a simple plurality. And there is even a fourth candidate, Gordon Howie. He's a conservative and probably is pulling votes away from Republican Rounds. Another nontraditional candidate is helping Democratic candidate Michelle Nunn in Georgia. Libertarian Party nominee Amanda Swafford is viewed as taking votes away from Republican David Perdue. We haven't talked about North Carolina. This is the only state where an endangered Democrat (Kay Hagan) seems to be leading in the polls. There, the savior for the Democrats is again a libertarian. He is a pizza delivery man. His name is Sean Haugh. Republican candidate Thom Tillis wishes his name was not on the ballot. If third party libertarians continue to get their names on the ballot, this is an ominous development for the Republican Party in the future. I firmly believe that they deliver close races to the Democrats. Their 5 percent to 10 percent is taking votes from the GOP. So on Tuesday, Nov. 4, you very well might pay attention to former no-names — Larry Pressler, Gordon Howie, Amanda Swafford and Sean Haugh. These so-called fringe players might be soon getting thank-you notes from Senater Majority Leader Harry Reid (D-Nev.).",summarize the following text: ,"Some scenarios might just take place that could save the day for the Democrats. No. 1 is Kansas Independent Greg Ormond beating Republican Sen. Pat Roberts No. 2 is South Dakota. There is a former three-term Republican senator, the irrepressible Larry Pressler, who very well may be a godsend for the Democrats. He is pulling votes away from the Republican candidate, former Gov. Mike Rounds South Dakota has sent Democrats to the U.S. Senate A candidate can win this race with as little as 33 percent. There is no runoff — it's just a simple plurality. And there is even a fourth candidate, Gordon Howie. Another nontraditional candidate is helping Democratic candidate Michelle Nunn in Georgia. Libertarian Party nominee Amanda Swafford is viewed as taking votes away from Republican David Perdue. North Carolina is the only state where an endangered Democrat seems to be leading There, the savior for the Democrats is again a libertarian. He is a pizza delivery man. His name is Sean Haugh. Republican candidate Thom Tillis wishes his name was not on the ballot this is an ominous development for the Republican Party they deliver close races to the Democrats. Their 5 percent to 10 percent is taking votes from the GOP. These so-called fringe players might be soon getting thank-you notes from Senater Majority Leader Harry Reid"
"In a 2004 article “Do We Really Know That the World Trade Organization (WTO) Increases Trade?,” Andrew K. Rose finds that pairs of states belonging to the General Agreement on Tariffs and Trade (GATT) and its successor, the WTO, do not have higher trade levels than nonmember dyads. Prior to Rose’s research, the GATT and WTO were commonly perceived as significant institutions in expanding global trade. The WTO aims to promote trade, and the protestors who have attempted to disrupt every WTO ministerial meeting since 1999 in Seattle must think it promotes trade. National governments also seem to think that the WTO promotes trade, or else it is difficult to understand why they spend so much time and effort negotiating new agreements. So, what explains Rose’s counterintuitive finding? The GATT/WTO is supposed to increase trade by reducing tariffs. We argue, however, that tariffs are only one factor affecting trade flows, and often a relatively minor one. Market-protecting institutions (MPIs), which are domestic institutions that protect market activity, exert a considerable influence on international trade (Anderson and Marcouiller 2002; Anderson and van Wincoop 2004; Berkowitz, Moenius and Pistor 2006; Iwanow and Kirkpatrick 2007; Nunn 2007; Ranjan and Lee 2007). MPIs promote trade by reducing transaction costs, and because high transaction costs can prohibit trade, we argue that the relationship between GATT/WTO membership and dyadic trade is conditional on the strength of MPIs in the dyad. When MPIs are strongly developed, trade is able to flow relatively freely and GATT/WTO tariff reductions further increase trade; thus, dyads with strong MPIs are likely to see an increase in trade upon GATT/WTO accession. On the other hand, in dyads with weak MPIs, GATT/WTO membership is unlikely to promote trade because the marginally lower tariffs provided by GATT/WTO membership are unable to offset the high transaction costs associated with weak MPIs. In brief, the WTO does promote trade, but its effect is conditional on the strength of the MPIs in the dyad.",summarize the following text: ,"Rose finds pairs of states belonging to the WTO, do not have higher trade levels than nonmember dyads. Prior to Rose’s research, the WTO were perceived as significant institutions in expanding global trade however tariffs are only one factor affecting trade flows, and often a relatively minor one. Market-protecting institutions that protect market activity, exert a considerable influence on international trade MPIs promote trade by reducing transaction costs the relationship between WTO membership and dyadic trade is conditional on the strength of MPIs in the dyad the WTO does promote trade, but its effect is conditional on the strength of the MPIs in the dyad."
