input,context,expected_output
"Daniel, research coordinator at the Drug Policy Alliance and writer for the Huffington Post, January 10th, “Legalization in US spurs debate throughout Americas”, http://www.westcoastleaf.net/?p=5178, AB
When the people of Colorado and Washington made history by legalizing marijuana, their vote reverberated around the world — especially in Latin America, where it has given new energy to the struggle to end drug prohibition. Just hours after the election, politicians from across Mexico’s political spectrum demanded that Mexico end the drug war or to legalize marijuana itself. A bill to legally regulate cannabis was introduced into the lower house of congress, while other politicians spoke of holding a national referendum in three years. “The prohibitionist paradigm is a complete failure,” said the bill’s author, Fernando Belaunzaran, of the Party of the Democratic Revolution (PRD). “All this has done is spur more violence, the business continues … and the country that has paid the highest costs is Mexico.”",summarize the following text: ,"When the people of Colorado and Washington made history by legalizing marijuana, their vote reverberated around the world A bill to legally regulate cannabis was introduced into the lower house of congress politicians spoke of holding a national referendum in three years"
"The legalization and decriminalization of marijuana cuts down on pot-related arrests, but neither policy solves the massive racial disparities within those arrests, according to a new report from the Center on Juvenile and Criminal Justice. CJCJ looked at five states — California, Colorado, Connecticut, Massachusetts, and Washington — that have relaxed their marijuana laws in the past five years. Two of those states (Colorado and Washington) completely legalized possession of small amount of marijuana for adults 21 and older, while the rest loosened or repealed criminal penalties for small amounts across all ages. Marijuana-related arrest rates for all races dropped by roughly two-thirds in four of the five states (Washington didn't have available data). But black people were still nearly five times more likely to be arrested for marijuana possession than other races, even though black and white Americans use drugs and sell them at similar rates.",summarize the following text: ,The legalization and decriminalization of marijuana cuts down on pot-related arrests but neither policy solves the massive racial disparities within those arrests according to a new report from the C J C J CJCJ looked at five states that relaxed their marijuana laws in the past five years Two of those states completely legalized marijuana Marijuana rates for all races dropped But black people were still nearly five times more likely to be arrested for marijuana possession than other races even though black and white Americans use drugs and sell them at similar rates
"A majority of Americans favor legalizing marijuana and would be motivated to vote if a measure to do so is on the ballot, according to a George Washington University Battleground poll released today. The survey of 1,000 likely voters found 73 percent support allowing marijuana for legal medical purposes, 53 percent favor decriminalization and 68 percent are “more likely” to go to their polling place to weigh in on a ballot. “Marijuana legalization and marijuana decriminalization is at a tipping point” said Celinda Lake, president of Lake Research Partners and one of the two pollsters who conducted the survey. Support crosses party lines, though younger and single voters -- who tend to vote for Democrats -- are more motivated by those issues, she said. Ballot measures on legalizing pot are set for Alaska’s August primary and probably this November in Oregon, according to Allen St. Pierre, the executive director Norml, a Washington-based nonprofit pushing for more access to the drug. Florida will see a decriminalization effort, he said.",summarize the following text: ,"A majority of Americans favor legalizing marijuana and would be motivated to vote 68 percent are “more likely” to go to their polling place to weigh in on a ballot. Support crosses party lines, though younger and single voters -- who tend to vote for Democrats -- are more motivated"
The regression results for the unrestricted bivariate VAR-model including one lag are presented in table 5. The main result is that conflict does not explain trade and trade does not explain current level of conflicts. Meaning there is no relationship between past values trade and conflict on current values of the two variables using the sample chosen here. Both variables are only explained by their own past realizations. Furthermore the conflict equation is hardly valid as a model (very low R2 and F-value). The coefficients of the past realizations of conflict on trade and trade on conflict are unusual in magnitude and not significant at all. There is no comparable approach so far in the literature which means we need further research to con_rm these results. Furthermore a longer time pe- riod is needed and maybe more variables for the VAR-model e.g. GDP as a measurement for economic size. A problem with adding more variables to a VAR-system is that it gets less tractable and needs some structure to make useful interpretations of the parameter estimates.,summarize the following text: ,conflict does not explain trade and trade does not explain current level of conflicts Meaning there is no relationship between past values trade and conflict on current values of the two variables Both variables are only explained by their own past realizations. the conflict equation is hardly valid as a model The coefficients of the past realizations of conflict on trade and trade on conflict are unusual in magnitude and not significant at all.
"I approached the problem by placing myself in the role of a money launderer working with a terror organization seeking to move money from the United States to Europe and beyond. On the basis that the activity must remain undetected by law enforcement and counterterrorism authorities as well as the internet poker websites operators and their regulators, I developed a list of constraints. The most limiting was the assumption that internet poker websites were following every law and regulation to the letter and that they employed both automated and human anticollusion systems. I considered a countermeasure that the website might deploy against me and then built a counter-countermeasure to overcome it. I kept escalating the possible countermeasures until, in November 2007, I discovered a counter-countermeasure that neither the poker websites nor their regulators could stop.//// In light of this discovery, I abandoned any notion of helping the legalization effort as I could not in good conscience promote an activity that I knew would eventually be exploited by criminals or terrorists.",summarize the following text: ,"I approached the problem by placing myself in the role of a money launderer working with a terror organization seeking to move money from the United States to Europe and beyond I developed a list of constraints. The most limiting was the assumption that internet poker websites were following every law and regulation to the letter and that they employed both automated and human anticollusion systems I considered a countermeasure that the website might deploy against me and then built a counter-countermeasure to overcome it. I kept escalating the possible countermeasures until, I discovered a counter-countermeasure that neither the poker websites nor their regulators could stop.//// I abandoned any notion of helping the legalization effort as I could not in good conscience promote an activity that I knew would eventually be exploited by criminals or terrorists."
"Under this approach, Congress could either repeal the UIGEA or leave it in place. If the UIGEA is repealed, the government, not financial institutions, would assume responsibility for enforcement of the anti-gambling laws.248 If the UIGEA remains, financial institutions would have a clear determination from Congress as to what constitutes illegal Internet gambling.249 As it stands, financial institutions are forced to make this determination on their own accord.250 Thus, whether the UIGEA is repealed or remains in effect, a law explicitly prohibiting all Internet gambling would permit financial institutions to focus more of their resources on their own business activities and cease spending their private funds on law enforcement and law interpretation.251 In this way, a law explicitly prohibiting Internet gambling and amending or repealing the UIGEA would greatly reduce the impending burden that the UIGEA, in its present state, creates for financial institutions.252 Furthermore, express prohibition would likely be more effective in curbing Internet gambling than the UIGEA.253",summarize the following text: ,"If the UIGEA is repealed, the government, not financial institutions, would assume responsibility for enforcement of the anti-gambling laws If the UIGEA remains, financial institutions would have a clear determination from Congress as to what constitutes illegal Internet gambling As it stands, financial institutions are forced to make this determination on their own accord. Thus, whether the UIGEA is repealed or remains in effect, a law explicitly prohibiting all Internet gambling would permit financial institutions to focus more of their resources on their own business activities and cease spending their private funds on law enforcement and law interpretation. a law explicitly prohibiting Internet gambling and repealing the UIGEA would greatly reduce the impending burden that the UIGEA, in its present state, creates for financial institutions express prohibition would likely be more effective in curbing Internet gambling than the UIGEA"
"We come here to a striking pitfall of the common arguments for physician-assisted suicide. Once the key premises of that argument are accepted, there will remain no logical way in the future to (1) for long hold the line against euthanasia, to take care of those physically or psycho- logically unable to take their own lives; (2) deny euthanasia to any competent person who requests it for whatever reason, terminal illness or not; and (3) deny euthanasia and physician-assisted suicide to those who suffer but are incompetent, even if they do not request it. I am not saying that such a scenario will in fact take place, but only that the arguments given in favor of euthanasia logically entail the possibility. We can erect legal safeguards and specify required procedures to keep that scenario from coming to pass, but over time they will provide poor protection if the logic of the moral premises on which they are based is fatally flawed. The safeguards will appear arbitrary and flimsy and will invite covert evasion or outright rejection.",summarize the following text: ,"We come to a striking pitfall of the arguments for physician-assisted suicide there will remain no logical way to hold the line against euthanasia take care of those unable to take their own lives deny euthanasia to any person who requests it and deny euthanasia physician-assisted suicide to those who suffer but are incompetent even if they do not request it arguments given in favor of euthanasia logically entail the possibility We can erect legal safeguards and specify required procedures to keep that scenario from coming to pass, but over time they will provide poor protection if the logic of the moral premises on which they are based is fatally flawed. The safeguards will appear arbitrary and flimsy and will invite covert evasion or outright rejection."
"U.S. policies have been the subject of more World Trade Organization disputes (119, followed by the EU with 73, then China with 30) and have been found to violate WTO rules more frequently than any other government’s policies. No government is more likely to be out of compliance with a final WTO Dispute Settlement Body (DSB) ruling — or for a longer period — than the U.S. government. To this day, the United States remains out of compliance in cases involving U.S. subsidies to cotton farmers, restrictions on Antigua’s provision of gambling services, country of origin labeling requirements on meat products, the so-called Byrd Amendment, a variety of antidumping measures, and several other issues, some of which were adjudicated more than a decade ago. In some of these cases, U.S. trade partners have either retaliated, or been authorized to retaliate, against U.S. exporters or asset holders, yet the non-compliance continues as though the United States considers itself above the rules.",summarize the following text: ,"U.S. policies have been the subject of more W T O disputes 119 followed by China with 30 and have been found to violate WTO rules more frequently than any other governmen policies No government is more likely to be out of compliance with a final DSB ruling the U S remains out of compliance in cases involving U.S. subsidies to cotton farmers  country of origin labeling requirements on meat products, the so-called Byrd Amendment, a variety of antidumping measures, and several other issues some of which were adjudicated more than a decade ago.  U.S. trade partners have either retaliated, or been authorized to retaliate yet non-compliance continues"
"On July 14, 2014, the World Trade Organization (WTO) issued two panel reports in the cases United States – Countervailing Measures on Certain Hot-Rolled Carbon Steel Flat Products from India (India case), and United States – Countervailing Duty Measures on Certain Products from China (China case). The WTO concluded that the United States acted inconsistently with global trade rules, and in particular certain provisions of the Agreement on Subsidies and Countervailing Measures, when it imposed countervailing duties on certain products imported into the United States from India and China. According to a news article, the United States argued that “it imposed the tariffs to combat artificially low prices on products from India and China's state-subsidised industries,” and has the right to appeal the ruling. Summaries of the key findings are available here (India case) and here (China case). - See more at: http://www.asil.org/blogs/world-trade-organization-finds-united-states-violated-global-trade-rules-imposing#sthash.HDFRC2vg.dpuf",summarize the following text: ,"The WTO concluded that the United States acted inconsistently with global trade rules, and in particular certain provisions of the Agreement on Subsidies and Countervailing Measures, when it imposed countervailing duties on certain products imported into the United States from India and China."
"The UIGEA requires all payment processors to establish policies and procedures to identify and prevent restricted transactions. 31 U.S.C. § 5364. ""Restricted transactions"" are defined as any knowing receipt of funds in connection with unlawful internet gambling by a person engaged in the business of betting or wagering. 31 U.S.C. § 5362(7) & 5363. This requirement, put in place before some states had authorized intrastate internet gaming, resulted in payment processors, including banks and credit card processors, developing systems that would detect and block ""unlawful internet gambling"" transactions. These detection systems included developing and implementing payment codes and procedures to ensure compliance with the UIGEA. As a result, payment processors are now faced with the need to develop new systems that would allow their payment systems to distinguish between lawful and unlawful transactions.",summarize the following text: ,"The UIGEA requirement resulted in payment processors, including banks and credit card processors, developing systems that would detect and block ""unlawful internet gambling"" transactions. These detection systems included developing and implementing payment codes and procedures to ensure compliance with the UIGEA."
