input,context,expected_output
That’s Merriam Webster 14 [http://www.merriam-webster.com/dictionary/resolved],summarize the following text: ,[http://www.merriam-webster.com/dictionary/resolved]
Republicans stand a slim chance … John Kerry carried in 2004.,summarize the following text: ,Republicans stand a slim chance
"The term ""United States"" means the 50 States of the United States of America.",summarize the following text: ,"The term ""United States"" means the 50 States"
"The term ""United States"" means the 50 States of the United States of America.",summarize the following text: ,"The term ""United States"" means the 50 States"
Ethicists continue to … of his genuine requirements.,summarize the following text: ,of his genuine requirements
"4 In order to tackle the causes, … reduce the demand for trafficked organs.115",summarize the following text: ,"In order to tackle the causes, … reduce the demand for trafficked organs.115"
The approach to the … - the libido dominandi,summarize the following text: ,The approach to the …
The conjunction fallacy similarly applies …. “In their summations lawyers avoid arguing from,summarize the following text: ,The conjunction fallacy similarly applies ….
On this issue …as an object of appropriate concern in the situation at hand.,summarize the following text: ,as an object of appropriate concern in the situation at hand.
One problem with utilitarianism is that it … inviolability is intrinsically valuable.,summarize the following text: ,One problem with utilitarianism is that it …
Settler colonialism is different from other ….. the razor’s edge of safety and terror.,summarize the following text: ,Settler colonialism is different from other ….. the razor’s edge of safety and terror.
"There is, as a result, a growing inequality within and between nation",summarize the following text: ,"There is, as a result, a growing inequality within and between nation"
"In a recent article on this topic, …seeks to subvert or avoid¶ these relations.",summarize the following text: ,seeks to subvert or avoid¶ these relations
When cosmopolitan medical civilization … experience that often overwhelms him.,summarize the following text: ,When cosmopolitan medical civilization … experience that often overwhelms him.
Imposing liberalism has often … liberal occupations is removed from the analytical arena.,summarize the following text: ,Imposing liberalism has often … liberal occupations is removed from the analytical arena
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"Pronunciation:/ɒv, (ə)v/
preposition
1 expressing the relationship between a part and a whole:",summarize the following text: ,expressing the relationship between a part and a whole
THIS DOESN’T SAY IF THE US LEGALIZED – OTHER COUNTRIES WOULD SHIFT FOR LEGALIZATION AND LABOR RIGHTS,summarize the following text: ,THIS DOESN’T SAY IF THE US LEGALIZED – OTHER COUNTRIES WOULD SHIFT FOR LEGALIZATION AND LABOR RIGHTS
Swedish government …. tricks and others.,summarize the following text: ,Swedish …. tricks and others.
The Executive Intelligence Review is a publication of Lyndon LaRouche.,summarize the following text: ,The Executive Intelligence Review is a publication of Lyndon LaRouche
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
Prostitution The act of offering one's self for hire to engage in sexual relations.,summarize the following text: ,Prostitution The act of offering one's self for hire to engage in sexual relations.
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
cited by advocates and is sure to create many—including existential ones for America.,summarize the following text: ,cited by advocates and is sure to create many—including existential ones for America
"The term ""United States"" means the 50 States of the United States of America.",summarize the following text: ,"The term ""United States"" means the 50 States of the United States of America."
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
Prostitution The act of offering one's self for hire to engage in sexual relations.,summarize the following text: ,Prostitution The act of offering one's self for hire to engage in sexual relations.
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
"legalize - To make enforceable, justifiable, or lawful by judicial or legislative sanction.",summarize the following text: ,"legalize To make enforceable, justifiable, or lawful by judicial or legislative sanction"
Resolved – v.  A formal resolution made by a deliberative body.,summarize the following text: ,Resolved A formal resolution made by a deliberative body
in (ɪn)¶ prep¶ 1. inside; within: no smoking in the auditorium.,summarize the following text: ,inside; within: no smoking in the auditorium
in (ɪn)¶ prep¶ 1. inside; within: no smoking in the auditorium.,summarize the following text: ,inside; within: no smoking in the auditorium
noun¶ 1.¶ the act or practice of engaging in sexual intercourse for money.,summarize the following text: ,the act or practice of engaging in sexual intercourse for money
in (ɪn)¶ prep¶ 1. inside; within: no smoking in the auditorium.,summarize the following text: ,inside; within: no smoking in the auditorium
in (ɪn)¶ prep¶ 1. inside; within: no smoking in the auditorium.,summarize the following text: ,inside; within: no smoking in the auditorium
In the domain … remains chaotic.,summarize the following text: ,In the domain …
The dispersion of the ….. without a body…”,summarize the following text: ,The dispersion of the ….. without a body…”
And the children of ….. to earlier trauma.,summarize the following text: ,to earlier trauma.
Conclusion: This chapter has ….. America for others.,summarize the following text: ,America
